observation_date,DFII10,DFII5,DGS5,DGS10
2019-01-04,0.93,0.95,2.47,2.65
2019-01-11,0.91,0.90,2.55,2.72
2019-01-18,0.93,0.92,2.56,2.74
2019-01-25,0.96,0.94,2.58,2.75
2019-02-01,0.87,0.84,2.51,2.70
2019-02-08,0.83,0.78,2.49,2.68
2019-02-15,0.83,0.76,2.49,2.67
2019-02-22,0.77,0.69,2.48,2.66
2019-03-01,0.76,0.67,2.50,2.70
2019-03-08,0.76,0.67,2.48,2.68
2019-03-15,0.69,0.58,2.42,2.62
2019-03-22,0.60,0.50,2.35,2.55
2019-03-29,0.55,0.45,2.20,2.41
2019-04-05,0.60,0.50,2.31,2.50
2019-04-12,0.59,0.50,2.32,2.52
2019-04-19,0.63,0.54,2.39,2.58
2019-04-26,0.59,0.47,2.34,2.55
2019-05-03,0.60,0.49,2.32,2.53
2019-05-10,0.60,0.51,2.27,2.47
2019-05-17,0.56,0.44,2.18,2.40
2019-05-24,0.59,0.50,2.17,2.37
2019-05-31,0.48,0.43,2.02,2.22
2019-06-07,0.37,0.28,1.86,2.10
2019-06-14,0.43,0.34,1.88,2.12
2019-06-21,0.37,0.27,1.80,2.05
2019-06-28,0.33,0.22,1.76,2.02
2019-07-05,0.33,0.26,1.78,2.00
2019-07-12,0.35,0.27,1.86,2.09
2019-07-19,0.29,0.22,1.83,2.07
2019-07-26,0.27,0.24,1.83,2.07
2019-08-02,0.25,0.25,1.77,1.98
2019-08-09,0.10,0.13,1.54,1.73
2019-08-16,0.02,0.11,1.48,1.60
2019-08-23,0.03,0.10,1.45,1.58
2019-08-30,-0.06,0.04,1.40,1.50
2019-09-06,-0.01,0.06,1.38,1.52
2019-09-13,0.14,0.20,1.61,1.76
2019-09-20,0.17,0.23,1.66,1.80
2019-09-27,0.12,0.18,1.57,1.70
2019-10-04,0.09,0.14,1.43,1.60
2019-10-11,0.11,0.16,1.44,1.62
2019-10-18,0.18,0.14,1.57,1.76
2019-10-25,0.16,0.07,1.60,1.78
2019-11-01,0.19,0.11,1.60,1.78
2019-11-08,0.19,0.08,1.67,1.86
2019-11-15,0.21,0.12,1.68,1.87
2019-11-22,0.15,0.09,1.62,1.77
2019-11-29,0.14,0.09,1.61,1.76
2019-12-06,0.13,0.07,1.62,1.79
2019-12-13,0.14,0.07,1.68,1.84
2019-12-20,0.15,0.06,1.73,1.91
2019-12-27,0.16,0.06,1.72,1.90
2020-01-03,0.10,-0.03,1.66,1.88
2020-01-10,0.09,-0.04,1.64,1.84
2020-01-17,0.07,-0.06,1.63,1.82
2020-01-24,0.04,-0.09,1.55,1.75
2020-01-31,-0.05,-0.18,1.41,1.59
2020-02-07,-0.04,-0.18,1.42,1.61
2020-02-14,-0.07,-0.21,1.42,1.59
2020-02-21,-0.11,-0.26,1.37,1.52
2020-02-28,-0.23,-0.38,1.10,1.29
2020-03-06,-0.45,-0.55,0.73,0.96
2020-03-13,-0.17,-0.06,0.62,0.79
2020-03-20,0.35,0.41,0.62,0.99
2020-03-27,-0.16,-0.10,0.48,0.81
2020-04-03,-0.31,-0.24,0.38,0.65
2020-04-10,-0.45,-0.42,0.45,0.73
2020-04-17,-0.47,-0.44,0.38,0.68
2020-04-24,-0.41,-0.29,0.36,0.61
2020-05-01,-0.48,-0.37,0.37,0.64
2020-05-08,-0.43,-0.37,0.34,0.67
2020-05-15,-0.42,-0.40,0.33,0.67
2020-05-22,-0.46,-0.47,0.35,0.69
2020-05-29,-0.47,-0.50,0.33,0.68
2020-06-05,-0.44,-0.50,0.38,0.77
2020-06-12,-0.48,-0.61,0.37,0.77
2020-06-19,-0.55,-0.70,0.34,0.72
2020-06-26,-0.65,-0.79,0.32,0.69
2020-07-03,-0.70,-0.88,0.29,0.67
2020-07-10,-0.76,-0.96,0.30,0.66
2020-07-17,-0.79,-1.01,0.29,0.63
2020-07-24,-0.88,-1.10,0.27,0.60
2020-07-31,-0.95,-1.13,0.25,0.58
2020-08-07,-1.05,-1.28,0.21,0.55
2020-08-14,-0.98,-1.24,0.28,0.67
2020-08-21,-0.99,-1.25,0.28,0.67
2020-08-28,-1.02,-1.34,0.29,0.70
2020-09-04,-1.05,-1.34,0.27,0.68
2020-09-11,-1.00,-1.28,0.27,0.69
2020-09-18,-0.98,-1.28,0.28,0.69
2020-09-25,-0.93,-1.20,0.27,0.67
2020-10-02,-0.95,-1.22,0.27,0.68
2020-10-09,-0.92,-1.20,0.33,0.78
2020-10-16,-0.96,-1.21,0.31,0.74
2020-10-23,-0.91,-1.23,0.36,0.83
2020-10-30,-0.88,-1.26,0.36,0.82
2020-11-06,-0.84,-1.22,0.36,0.83
2020-11-13,-0.80,-1.22,0.43,0.93
2020-11-20,-0.83,-1.23,0.39,0.87
2020-11-27,-0.87,-1.27,0.39,0.87
2020-12-04,-0.92,-1.35,0.40,0.92
2020-12-11,-0.96,-1.44,0.39,0.93
2020-12-18,-0.99,-1.51,0.38,0.93
2020-12-25,-1.01,-1.54,0.38,0.95
2021-01-01,-1.04,-1.55,0.37,0.94
2021-01-08,-1.02,-1.61,0.42,1.03
2021-01-15,-0.95,-1.58,0.49,1.13
2021-01-22,-1.00,-1.71,0.45,1.11
2021-01-29,-1.04,-1.74,0.42,1.06
2021-02-05,-1.03,-1.79,0.45,1.14
2021-02-12,-1.04,-1.84,0.48,1.18
2021-02-19,-0.88,-1.75,0.57,1.31
2021-02-26,-0.74,-1.69,0.68,1.42
2021-03-05,-0.71,-1.69,0.73,1.49
2021-03-12,-0.67,-1.64,0.82,1.57
2021-03-19,-0.63,-1.70,0.85,1.66
2021-03-26,-0.67,-1.69,0.84,1.65
2021-04-02,-0.64,-1.63,0.92,1.72
2021-04-09,-0.65,-1.65,0.88,1.68
2021-04-16,-0.71,-1.70,0.85,1.62
2021-04-23,-0.75,-1.67,0.82,1.58
2021-04-30,-0.77,-1.67,0.86,1.63
2021-05-07,-0.85,-1.83,0.81,1.60
2021-05-14,-0.88,-1.86,0.83,1.65
2021-05-21,-0.83,-1.82,0.84,1.64
2021-05-28,-0.83,-1.80,0.80,1.59
2021-06-04,-0.83,-1.77,0.81,1.60
2021-06-11,-0.84,-1.70,0.76,1.50
2021-06-18,-0.80,-1.54,0.85,1.51
2021-06-25,-0.81,-1.56,0.90,1.50
2021-07-02,-0.86,-1.59,0.88,1.47
2021-07-09,-0.93,-1.65,0.78,1.34
2021-07-16,-0.98,-1.72,0.81,1.36
2021-07-23,-1.02,-1.74,0.71,1.26
2021-07-30,-1.14,-1.85,0.72,1.26
2021-08-06,-1.14,-1.80,0.69,1.22
