Industry and class of worker,Aug-20,Aug-21,
Nonagricultural private wage and salary workers,8.50,5.30,
"Mining, quarrying, and oil and gas extraction",8.80,5.20,
Construction,12.40,10.20,
Manufacturing,7.60,4.60,
Durable goods,6.70,3.60,
Nondurable goods,6.50,3.30,
Wholesale and retail trade,7.00,4.20,
Transportation and utilities,8.30,6.10,
Information,11.30,5.90,
Financial activities,8.60,4.40,
Professional and business services,4.20,3.20,
Education and health services,7.20,4.60,
Leisure and hospitality,6.30,4.30,
Other services,21.30,9.10,
Agriculture and related private wage and salary workers,9.10,5.00,
Government workers,5.60,5.70,
"Self-employed workers, unincorporated, and unpaid family workers",5.70,3.60,
,6.80,4.90,